time,number of radar granules,number of lidar granules
2006-06-01,406,206
2006-07-01,441,355
2006-08-01,431,396
2006-09-01,351,350
2006-10-01,410,344
2006-11-01,428,387
2006-12-01,441,227
2007-01-01,447,403
2007-02-01,401,401
2007-03-01,387,356
2007-04-01,366,320
2007-05-01,440,434
2007-06-01,429,427
2007-07-01,423,388
2007-08-01,447,446
2007-09-01,431,430
2007-10-01,439,414
2007-11-01,430,414
2007-12-01,440,410
2008-01-01,367,351
2008-02-01,391,367
2008-03-01,443,316
2008-04-01,432,432
2008-05-01,370,370
2008-06-01,431,327
2008-07-01,445,394
2008-08-01,449,426
2008-09-01,432,340
2008-10-01,443,428
2008-11-01,433,428
2008-12-01,439,439
2009-01-01,435,428
2009-02-01,404,218
2009-03-01,432,231
2009-04-01,413,387
2009-05-01,444,437
2009-06-01,418,396
2009-07-01,448,448
2009-08-01,440,413
2009-09-01,431,427
2009-10-01,449,449
2009-11-01,426,417
2009-12-01,93,93
2010-01-01,213,210
2010-02-01,403,396
2010-03-01,431,416
2010-04-01,430,423
2010-05-01,447,447
2010-06-01,433,423
2010-07-01,448,423
2010-08-01,445,368
2010-09-01,429,414
2010-10-01,425,418
2010-11-01,416,396
2010-12-01,449,433
2011-01-01,0,0
2011-02-01,303,290
2011-03-01,436,313
2011-04-01,238,232
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,19,0
2011-11-01,175,0
2011-12-01,267,0
2012-01-01,285,0
2012-02-01,282,0
2012-03-01,309,0
2012-04-01,324,0
2012-05-01,380,138
2012-06-01,396,384
2012-07-01,403,250
2012-08-01,402,401
2012-09-01,384,314
2012-10-01,407,400
2012-11-01,427,400
2012-12-01,415,403
2013-01-01,423,282
2013-02-01,394,347
2013-03-01,434,398
2013-04-01,410,311
2013-05-01,427,235
2013-06-01,423,381
2013-07-01,434,426
2013-08-01,433,428
2013-09-01,403,349
2013-10-01,442,316
2013-11-01,423,351
2013-12-01,438,370
2014-01-01,399,208
2014-02-01,397,267
2014-03-01,415,365
2014-04-01,380,310
2014-05-01,436,433
2014-06-01,425,387
2014-07-01,424,347
2014-08-01,443,413
2014-09-01,429,351
2014-10-01,409,386
2014-11-01,417,399
2014-12-01,444,428
2015-01-01,440,425
2015-02-01,387,364
2015-03-01,362,333
2015-04-01,409,389
2015-05-01,442,435
2015-06-01,434,260
2015-07-01,444,436
2015-08-01,448,446
2015-09-01,409,391
2015-10-01,443,384
2015-11-01,420,348
2015-12-01,439,383
2016-01-01,444,379
2016-02-01,414,0
2016-03-01,433,243
2016-04-01,349,338
2016-05-01,436,421
2016-06-01,427,423
2016-07-01,403,391
2016-08-01,451,432
2016-09-01,429,429
2016-10-01,444,392
2016-11-01,426,322
2016-12-01,430,345
2017-01-01,449,396
2017-02-01,391,365
2017-03-01,443,421
2017-04-01,421,379
2017-05-01,444,428
2017-06-01,46,46
2017-07-01,73,0
2017-08-01,430,360
2017-09-01,339,164
2017-10-01,367,344
2017-11-01,426,418
2017-12-01,67,65
2018-01-01,0,0
2018-02-01,0,0
2018-03-01,0,0
2018-04-01,0,0
2018-05-01,189,0
2018-06-01,404,0
2018-07-01,440,0
2018-08-01,444,0
2018-09-01,438,0
2018-10-01,408,204
2018-11-01,422,410
2018-12-01,445,442
2019-01-01,407,389
2019-02-01,409,390
2019-03-01,437,390
2019-04-01,215,195
2019-05-01,442,436
2019-06-01,438,438
2019-07-01,130,130
2019-08-01,0,0
2019-09-01,0,0
2019-10-01,0,0
2019-11-01,0,0
2019-12-01,0,0
